0,1.4573
1,1.1348
2,1.0538
3,1.0044
4,0.9591
5,0.9073
6,0.8421
7,0.8088
8,0.7776
9,0.7453
10,0.7241
11,0.6954
12,0.6803
13,0.6621
14,0.6452
15,0.6292
16,0.6125
17,0.5984
18,0.5874
19,0.5742
20,0.5653
21,0.5550
22,0.5465
23,0.5394
24,0.5326
25,0.5227
26,0.5195
27,0.5094
28,0.5056
29,0.5023
30,0.4935
31,0.4909
32,0.4865
33,0.4821
34,0.4745
35,0.4726
36,0.4693
37,0.4647
38,0.4619
39,0.4552
40,0.4511
41,0.4447
42,0.4414
43,0.4384
44,0.4348
45,0.4301
46,0.4268
47,0.4237
48,0.4181
49,0.4115
50,0.4100
51,0.4047
52,0.4028
53,0.3993
54,0.3938
55,0.3903
56,0.3875
57,0.3845
58,0.3806
59,0.3773
60,0.3753
61,0.3714
62,0.3673
63,0.3631
64,0.3603
65,0.3572
66,0.3530
67,0.3491
68,0.3468
69,0.3458
70,0.3403
71,0.3381
72,0.3346
73,0.3332
74,0.3312
75,0.3285
76,0.3270
77,0.3247
78,0.3222
79,0.3216
80,0.3197
81,0.3189
82,0.3163
83,0.3164
84,0.3174
85,0.3159
86,0.3159
87,0.3161
88,0.3157
89,0.3113
